Toplam kelime sayısı: 184384
Tekil kelime sayısı: 19456

Kelime                          Frekans  Most Likely Tag
hitler                                4  np
underground                           4  rb
provisional                           4  jj
vivid                                 4  jj
safe                                  4  jj
stalin's                              4  np$
desired                               4  vbd
donnybrook                            4  np
irish                                 4  jj
philip                                4  np
sad                                   4  jj
couples                               4  nns
instruction                           4  nn
they've                               4  ppss+hv
ron                                   4  np
coloring                              4  vbg
embroidery                            4  nn
coaches                               4  nns
silver                                4  jj
mcauliffe                             4  np
lunch                                 4  nn
willie's                              4  np$
d'albert                              4  np
sentimental                           4  jj
lewisohn                              4  np-tl
rivers                                4  nns
campaigns                             4  nns
harm                                  4  nn
slaughter                             4  nn
excerpts                              4  nns
founded                               4  vbd
intimate                              4  jj
bandstand                             4  nn
julian                                4  np
murphy                                4  np
trinity                               4  np
pray                                  4  vb
keynote                               4  vb
circulation                           4  nn
cotten                                4  np
grover                                4  np
denton                                4  np
anti-monopoly                         4  jj
compete                               4  vb
notion                                4  nn
interference                          4  nn
freight                               4  nn
stages                                4  nns
sophomore                             4  nn
height                                4  nn
non-service-connected                 4  jj
earnings                              4  nns
percentage                            4  nn
employs                               4  vbz
1910                                  4  cd
fields                                4  nns
cliff                                 4  np
elman                                 4  np
excerpt                               4  nn
deux                                  4  fw-cd
conventions                           4  nns
appearance                            4  nn
pons                                  4  np
device                                4  nn
discontinuity                         4  nn
rockets                               4  nns
opponent                              4  nn
qualifications                        4  nns
satisfied                             4  vbn
rifles                                4  nns
actual                                4  jj
adding                                4  vbg
firmer                                4  jjr
virgin                                4  nn-tl
mo.                                   4  np
rapid                                 4  jj
graduates                             4  nns
pfaff                                 4  np
honeymoon                             4  nn
revenues                              4  nns
weary                                 4  jj
$28                                   4  nns
wage                                  4  vb
duncan                                4  np
phyfe                                 4  np
baldrige                              4  np
strengthening                         4  nn
counseling                            4  nn
interviews                            4  nns
universities                          4  nns
homecoming                            4  nn
professors                            4  nns
sentence                              4  nn
remembering                           4  vbg
minority                              4  nn
statistical                           4  jj
contented                             4  vbn
feather                               4  nn
nashville                             4  np
prevailed                             4  vbd
cruising                              4  vbg
listener                              4  nn
conscious                             4  jj
file                                  4  nn
milstein                              4  np
textures                              4  nns
ironic                                4  jj
quixote                               4  np
alexander                             4  np
lousy                                 4  jj
shorts                                4  nns
masaryk                               4  np
lay-offs                              4  nns
schaefer                              4  np
instances                             4  nns
rifle                                 4  nn
forgiven                              4  vbn
stops                                 4  nns
otter                                 4  nn
camusfearna                           4  np
poetry                                4  nn
jouvet                                4  np
ledoux                                4  np
tartuffe                              4  np
scapin                                4  np
django                                4  np
absence                               4  nn
deeper                                4  jjr
victories                             4  nns
pathet                                4  np
phouma                                4  np
offenses                              4  nns
5%                                    4  nn
levitt                                4  np
interama                              4  np
stanley                               4  np
86                                    4  cd
cardinals                             4  nns-tl
nordmann                              4  np
bradley                               4  np
ritchie                               4  np
kimmell                               4  np
hungarian                             4  np
tass                                  4  nn
datelined                             4  vbn
a's                                   4  nn
hyde                                  4  np
tuttle                                4  np
throneberry                           4  np
hartman                               4  np
lumpe                                 4  np
jackie                                4  np
telegraphers                          4  nns
gardner's                             4  np$
lemon                                 4  np
jensen                                4  np
game's                                4  nn$
protest                               4  nn
lauchli                               4  np
mortar                                4  nn
tenure                                4  nn
leg                                   4  nn
longhorns                             4  nns-tl
gannon                                4  np
stram                                 4  np
sophisticated                         4  jj
schuylkill                            4  np-tl
d.c.                                  4  np
fifties                               4  nns
fox                                   4  nn
chandler                              4  np
thyroid                               4  nn
temptations                           4  nns
child's                               4  nn$
bids                                  4  nns
goodis                                4  np
marriages                             4  nns
lamp                                  4  nn
motels                                4  nns
pools                                 4  nns
concerns                              3  vbz
4:30                                  3  cd
holiday                               3  nn
westminster                           3  np
sims                                  3  np
cancer                                3  nn-tl
hamm                                  3  np
bruce                                 3  np
tennis                                3  nn
buffet                                3  nn
loud                                  3  jj
artistic                              3  jj
indonesia                             3  np
geraghty's                            3  np$
separated                             3  vbn
youngest                              3  jjt
fitted                                3  vbn
chicago's                             3  np$
byron                                 3  np
florence                              3  np
consul                                3  nn-tl
masonic                               3  jj-tl
clinton                               3  np
actress                               3  nn
maureen                               3  np
columnist                             3  nn
ariz.                                 3  np
hinted                                3  vbn
headline                              3  nn
pain                                  3  nn
y.                                    3  np
hollywood's                           3  np$
glamor                                3  nn
memphis                               3  np
pop                                   3  vb
mink                                  3  nn
sportsman                             3  nn-tl
sake                                  3  nn
generously                            3  rb
candy                                 3  nn
brain                                 3  nn
charities                             3  nns
bet                                   3  vb
showman                               3  nn
jump                                  3  vb
snapped                               3  vbd
frightening                           3  vbg
loop                                  3  nn
tribune                               3  nn-tl
angel                                 3  nn-tl
twist                                 3  nn
deposit                               3  nn
boxes                                 3  nns
sits                                  3  vbz
ellis                                 3  np
proceed                               3  vb
economically                          3  rb
$500,000                              3  nns
zeal                                  3  nn
whipped                               3  vbd
sapio                                 3  np
chatham                               3  np
overthrow                             3  vb
stripes                               3  nns
col.                                  3  nn-tl
preposterous                          3  jj
immigration                           3  nn-tl
misunderstanding                      3  nn
screening                             3  nn
rescued                               3  vbn
timely                                3  jj
searching                             3  vbg
retire                                3  vb
politician                            3  nn
sending                               3  vbg
nowhere                               3  rb
ignored                               3  vbd
defended                              3  vbd
compounded                            3  vbn
accountability                        3  nn
vein                                  3  nn
executives                            3  nns-tl
seas                                  3  nns
luxury                                3  nn
impeccable                            3  jj
liner                                 3  nn
unpleasant                            3  jj
sentiment                             3  nn
fares                                 3  nns
flights                               3  nns
lean                                  3  jj
efficient                             3  jj
inspection                            3  nn
300,000                               3  cd
seize                                 3  vb
stepped                               3  vbd
adviser                               3  nn
workable                              3  jj
quit                                  3  vb
accepting                             3  vbg
irregularities                        3  nns
investigate                           3  vb
efficiency                            3  nn
clerical                              3  jj
foster                                3  vb
populous                              3  jj
guardians                             3  nns
undue                                 3  jj
criticisms                            3  nns
influences                            3  nns
pricing                               3  vbg
reasonable                            3  jj
berry                                 3  np
griffin                               3  np
74                                    3  cd
rd.                                   3  nn-tl
1937                                  3  cd
featured                              3  vbn
lt.                                   3  nn-tl
byrd's                                3  np$
byrd                                  3  np
revolving                             3  vbg
intends                               3  vbz
marvin                                3  np
$10                                   3  nns
privilege                             3  nn
raises                                3  nns
legislator                            3  nn
delegation                            3  nn
tossed                                3  vbd
bush                                  3  np
saturday's                            3  nr$
rejection                             3  nn
taxing                                3  vbg
requirements                          3  nns
tax-exempt                            3  jj
segregated                            3  vbn
privileges                            3  nns
obstacles                             3  nns
endowments                            3  nns
affiliated                            3  vbn
commitment                            3  nn
obligation                            3  nn
governing                             3  vbg
documents                             3  nns
assure                                3  vb
slammed                               3  vbd
leon                                  3  np
stand-ins                             3  nns
eve                                   3  nn
integrate                             3  vb
pledged                               3  vbd
uptown                                3  jj
sisters                               3  nns
lola                                  3  np
simpson                               3  np
greenville                            3  np-tl
hal                                   3  np
wallace                               3  np
relatives                             3  nns
search                                3  nn
margaret                              3  np
lou                                   3  np
scratches                             3  nns
restrained                            3  vbn
uniforms                              3  nns
torn                                  3  vbn
assault                               3  nn
5,000                                 3  cd
crowds                                3  nns
ant                                   3  nn
eradication                           3  nn
troup                                 3  np
pierce                                3  np
bryan                                 3  np
blasingame                            3  np
northeast                             3  jj-tl
path                                  3  nn
half-mile                             3  nn
111                                   3  cd-tl
flames                                3  nns
flaming                               3  vbg
matunuck                              3  np
cartoonist                            3  nn
10-year-old                           3  jj
portrayal                             3  nn
standpoint                            3  nn
morgan                                3  np
epitaph                               3  nn-tl
jam                                   3  nn
tortured                              3  vbn
exists                                3  vbz
sheer                                 3  jj
sparks                                3  nns
forgotten                             3  vbn
blaze                                 3  vb
technically                           3  rb
laura                                 3  np
vibrant                               3  jj
where's                               3  wrb+bez-tl
loesser                               3  np
choreography                          3  nn
shoe                                  3  nn
invented                              3  vbn
chords                                3  nns
fame                                  3  nn
lighting                              3  vbg
elliott                               3  np
happier                               3  jjr
laguardia                             3  np
rudy                                  3  np
sincerity                             3  nn
affection                             3  nn
garbage                               3  nn
angels                                3  nns-tl
choreographic                         3  jj
nonsense                              3  nn
rallies                               3  nns
interruption                          3  nn
script                                3  nn
enjoys                                3  vbz
wells                                 3  np
reporting                             3  vbg
reasonably                            3  rb
weren't                               3  bed*
detective                             3  nn-tl
bishop                                3  np
earl                                  3  np
sleeping                              3  vbg
indicates                             3  vbz
precise                               3  jj
creature                              3  nn
virtue                                3  nn
completes                             3  vbz
frankness                             3  nn
goldwater                             3  np
inna                                  3  np
peasant                               3  nn
harmonies                             3  nns
$25                                   3  nns
toy                                   3  nn
famed                                 3  jj
two-hour                              3  jj
towering                              3  vbg
viewers                               3  nns
credits                               3  nns
throws                                3  vbz
pillow                                3  nn
summed                                3  vbd
monthly                               3  jj
poets                                 3  nns
ussr                                  3  nn
channel                               3  nn-tl
titled                                3  vbn
austere                               3  jj
lighter                               3  jjr
sighed                                3  vbd
blood                                 3  nn
ciudad                                3  np
preliminary                           3  jj
ultimately                            3  rb
lined                                 3  vbn
hailed                                3  vbd
oas                                   3  nn
alike                                 3  rb
demonstrated                          3  vbn
1935                                  3  cd
complexity                            3  nn
disputes                              3  nns
surpluses                             3  nns
fiasco                                3  nn
$1.1                                  3  nns
dissatisfaction                       3  nn
resistance                            3  nn
assistants                            3  nns
cake                                  3  nn
guessing                              3  vbg
lasted                                3  vbd
thailand                              3  np
colleagues                            3  nns
treasury                              3  nn-tl
assessment                            3  nn
hopeful                               3  jj
populated                             3  vbn
shoreline                             3  nn
exotic                                3  jj
extends                               3  vbz
waged                                 3  vbn
preservation                          3  nn
cod                                   3  nn-tl
formidable                            3  jj
tagged                                3  vbn
dunes                                 3  nns
faster                                3  rbr
shriver                               3  np
undergo                               3  vb
schooling                             3  nn
remote                                3  jj
primitive                             3  jj
cosmic                                3  jj
keys                                  3  nns
projected                             3  vbn
bondi                                 3  np
elizabeth                             3  np
lecturer                              3  nn
john's                                3  np$
cambridge                             3  np
engrossing                            3  jj
continually                           3  rb
directions                            3  nns
declares                              3  vbz
charge-excess                         3  nn
shoot                                 3  vb
fleeting                              3  vbg-hl
glimpse                               3  nn
absorption                            3  nn
spiritual                             3  jj
gaudy                                 3  jj
doyle                                 3  np
disappointment                        3  nn
soil                                  3  nn
drying                                3  vbg
dismissal                             3  nn
portraits                             3  nns
pathetic                              3  jj
characterization                      3  nn
potatoes                              3  nns
seasoned                              3  vbn
night's                               3  nn$
founder                               3  nn
mixture                               3  nn
benedick                              3  np
insult                                3  nn
writers'                              3  nns$
sprinkle                              3  vb
cannon                                3  np
wings                                 3  nns
villains                              3  nns
herter                                3  np
fronts                                3  nns
chaos                                 3  nn
stirred                               3  vbn
artillery                             3  nn
confronted                            3  vbn
48                                    3  cd
staffs                                3  nns
ike                                   3  np-tl
aircraft                              3  nn-tl
loaded                                3  vbn
marines                               3  nns
marine                                3  nn-tl
indian                                3  jj
dulles                                3  np
extension                             3  nn
drops                                 3  nns
turmoil                               3  nn
deadly                                3  jj
pronounced                            3  vbn
moderate                              3  jj
rebellion                             3  nn
tense                                 3  jj
leaked                                3  vbd
supporters                            3  nns
ribbons                               3  nns
deliberately                          3  rb
hubert                                3  np
objected                              3  vbd
anderson's                            3  np$
rounded                               3  vbn
tally                                 3  nn
lift                                  3  vb
sprinkel                              3  np
economist                             3  nn
draper                                3  np
pan                                   3  nn
abrupt                                3  jj
declaring                             3  vbg
believing                             3  vbg
cautioned                             3  vbd
phases                                3  nns
adverse                               3  jj
yourself                              3  ppl
monday's                              3  nr$
averages                              3  nns
routine                               3  jj
$800                                  3  nns
expenditures                          3  nns
restless                              3  jj
tend                                  3  vb
short-term                            3  nn
successfully                          3  rb
1925                                  3  cd
underwriters                          3  nns
converted                             3  vbn
1986                                  3  cd
1966                                  3  cd
diversified                           3  vbn-tl
fund's                                3  nn$
handles                               3  vbz
magnetic                              3  jj
corrected                             3  vbn
inquiries                             3  nns
hayes                                 3  np
alter                                 3  vb
perlman                               3  np
chesapeake                            3  np-tl
o                                     3  nn
examiner                              3  nn
nearing                               3  vbg
nationally                            3  rb
1960's                                3  cd$
discrepancy                           3  nn
forecasts                             3  nns
parsons                               3  np
fears                                 3  vbz
stolen                                3  vbn
nationwide                            3  jj
text                                  3  nn
salinger                              3  np
prosecution                           3  nn
unfair                                3  jj
contempt                              3  nn
prosecutor                            3  nn
29th                                  3  od
4th                                   3  od
employer                              3  nn
90                                    3  cd
$20                                   3  nns
staggered                             3  vbn
unnecessary                           3  jj
absolute                              3  jj
ambitious                             3  jj
$1,500                                3  nns
$1,000                                3  nns
unspecified                           3  jj
children's                            3  nns$
indispensable                         3  jj
placing                               3  vbg
dirksen                               3  np
customary                             3  jj
rank                                  3  nn
requiring                             3  vbg
enforce                               3  vb
confrontation                         3  nn
east-west                             3  jj-tl
announcements                         3  nns
masked                                3  vbn
episode                               3  nn
confirm                               3  vb
negotiation                           3  nn
toughness                             3  nn
fruitful                              3  jj
weakened                              3  vbn
states'                               3  nns$-tl
global                                3  jj
commitments                           3  nns
doorstep                              3  nn
eventual                              3  jj
willingness                           3  nn
dealt                                 3  vbd
councils                              3  nns
advisability                          3  nn
arose                                 3  vbd
secretariat                           3  nn-tl
episodes                              3  nns
warnings                              3  nns
emphasized                            3  vbd
negotiating                           3  vbg
convenient                            3  jj
affect                                3  vb
relationships                         3  nns
disapproval                           3  nn
rely                                  3  vb
weakness                              3  nn
scope                                 3  nn
practically                           3  rb
profound                              3  jj
relevant                              3  jj
liberation                            3  nn
vary                                  3  vb
conceded                              3  vbd
passion                               3  nn
economize                             3  vb
purity                                3  nn
retaliation                           3  nn
secondly                              3  rb
clouds                                3  nns
whenever                              3  wrb
peaks                                 3  nns
angola                                3  np
busily                                3  rb
consequence                           3  nn
derived                               3  vbn
contested                             3  vbn
aim                                   3  nn
plainfield                            3  np
campaigning                           3  vbg
carcass                               3  nn
intervals                             3  nns
trenton                               3  np-hl
absorbed                              3  vbn
respond                               3  vb
meyner                                3  np
noting                                3  vbg
defends                               3  vbz-hl
overwhelmingly                        3  rb
glow                                  3  nn
democracy                             3  nn
financing                             3  vbg
sheeran                               3  np
organization's                        3  nn$
vacancy                               3  nn-hl
citation                              3  nn
supervision                           3  nn
slogans                               3  nns
municipalities                        3  nns
pointing                              3  vbg
sympathetic                           3  jj
tangle                                3  nn
stepping                              3  vbg
totalitarianism                       3  nn
plus-one                              3  jj
unwilling                             3  jj
2,000                                 3  cd
designing                             3  vbg
self-determination                    3  nn
refuse                                3  vb
acknowledge                           3  vb
pending                               3  jj
appropriate                           3  jj
slum                                  3  nn
additions                             3  nns
resident                              3  nn
skyline                               3  nn-tl
participate                           3  vb
courteous                             3  jj
encountered                           3  vbn
interviewed                           3  vbn
sincere                               3  jj
aggression                            3  nn
empty                                 3  jj
civilian                              3  nn
knowing                               3  vbg
pioneer                               3  nn
sidewalk                              3  nn
lincoln                               3  np
bleak                                 3  jj
sinatra                               3  np
entourage                             3  nn
priced                                3  vbn
doubtless                             3  rb
inaugural                             3  jj
loper                                 3  np
clothing                              3  nn
greeting                              3  nn
plow                                  3  nn
undergraduate                         3  nn
idol                                  3  nn
trophy                                3  nn-tl
golf's                                3  nn$
ace                                   3  nn
useless                               3  jj
chaplin                               3  np
1952                                  3  cd
impressions                           3  nns
dusseldorf                            3  np
sculptures                            3  nns
61                                    3  cd
legend                                3  nn
lifetime                              3  nn
masterpiece                           3  nn
haggling                              3  vbg
claimed                               3  vbd
entry                                 3  nn
alabama                               3  np
carolina                              3  np-tl
journalism                            3  nn
testimony                             3  nn
automatically                         3  rb
hunt                                  3  vb
60,000                                3  cd
statesmen                             3  nns
beadle                                3  np
chemistry                             3  nn
enrollment                            3  nn
school's                              3  nn$
biology                               3  nn
unexpected                            3  jj
$250                                  3  nns
surprises                             3  nns
basin                                 3  nn-tl-hl
lester                                3  np
walnut                                3  nn
bundles                               3  nns
competence                            3  nn
bridge                                3  nn
spurdle                               3  np
moody                                 3  np
trimble                               3  np
troop                                 3  nn-tl
smythe                                3  np
sponsors                              3  nns
monte                                 3  np
originated                            3  vbd
assisting                             3  vbg
evelyn                                3  np
janssen                               3  np
latter's                              3  nn$
vieth                                 3  np
susan                                 3  np
conrad                                3  np
louise                                3  np
kappa                                 3  np
honoring                              3  vbg
eustis                                3  np
jordan                                3  np
skirt                                 3  nn
fringed                               3  vbn
silk                                  3  nn
waited                                3  vbd
defending                             3  vbg
bunker                                3  nn
sand                                  3  nn
wedge                                 3  nn
shaken                                3  vbn
approached                            3  vbd
73                                    3  cd
tournaments                           3  nns
pensacola                             3  np
sport                                 3  nn
greens                                3  nns
focus                                 3  nn
pars                                  3  nns
gesture                               3  nn
noticed                               3  vbd
gifted                                3  jj
bordering                             3  vbg
hogan                                 3  np
slice                                 3  nn
thrust                                3  vbd
acute                                 3  jj
proposing                             3  vbg
premise                               3  nn
superiority                           3  nn
weapon                                3  nn
regardless                            3  rb
ecumenical                            3  jj-tl
voiced                                3  vbd
catholics                             3  nps
church's                              3  nn$-tl
stance                                3  nn
irresistible                          3  jj
divine                                3  jj
necessitated                          3  vbn
unemployed                            3  jj
apologies                             3  nns
comprehension                         3  nn
solutions                             3  nns
tactical                              3  jj
u.n.'s                                3  np$
external                              3  jj
servant                               3  nn
citizen                               3  nn
geographical                          3  jj
objection                             3  nn
root                                  3  nn
decrease                              3  vb
borough                               3  nn-tl
queens                                3  np
correspondents                        3  nns
twenty-second                         3  od-tl
1980                                  3  cd
posed                                 3  vbn
laying                                3  vbg
twelve                                3  cd
assurance                             3  nn
conant's                              3  np$-hl
optimism                              3  nn
concerning                            3  in
equality                              3  nn
lightly                               3  rb
conscientious                         3  jj
junk                                  3  nn
privileged                            3  jj
cult                                  3  nn
butchery                              3  nn
40,000                                3  cd
25,000                                3  cd
hanging                               3  vbg
successive                            3  jj
twenty-five                           3  cd
occupancy                             3  nn
switching                             3  vbg
trap                                  3  nn
partially                             3  rb
crew                                  3  nn
grandfather                           3  nn
governors                             3  nns
silently                              3  rb
monstrous                             3  jj
builds                                3  vbz
shock                                 3  nn
vegas                                 3  np
genetic                               3  jj
fusion                                3  nn
unanimity                             3  nn
discussing                            3  vbg
vague                                 3  jj
sweep                                 3  vb
roof                                  3  nn
anymore                               3  rb
tnt                                   3  nn
supplied                              3  vbn
patterned                             3  vbn
reactor                               3  nn
bow                                   3  nn
houghton                              3  np
55                                    3  cd
lonsdale                              3  np
canadian                              3  jj-tl
krogers                               3  nps
cottage                               3  nn
crown                                 3  nn
transmitter                           3  nn
magistrate                            3  nn
bailey                                3  np-tl
fuchs                                 3  np
sentenced                             3  vbn
promptly                              3  rb
cleared                               3  vbd
branch                                3  vb
steam                                 3  nn
fastest                               3  jjt
perry                                 3  np
petty                                 3  jj
tree                                  3  nn-tl
1934                                  3  cd
defendant                             3  nn
grocery                               3  nn
chain                                 3  nn
simms                                 3  np
pursuit                               3  nn
balanced                              3  vbn
visitor                               3  nn
juicy                                 3  jj
deserved                              3  vbd
distributed                           3  vbn
consummate                            3  jj
farrell                               3  np
dunn                                  3  np
madrigals                             3  nns
imagined                              3  vbn
sample                                3  nn
abstract                              3  jj
specialize                            3  vb
le                                    3  fw-at-tl
concertos                             3  nns
francaise                             3  fw-jj-tl
ld                                    3  np
rococo                                3  jj
simplicity                            3  nn
contains                              3  vbz
marx                                  3  np
accustomed                            3  vbn
eighteenth-century                    3  jj
proving                               3  vbg
fuller                                3  np
baritone                              3  nn
isles                                 3  nns-tl
communicative                         3  jj
eighteenth                            3  od-tl
joke                                  3  nn
sailor                                3  nn
cares                                 3  vbz
progressive                           3  jj
brisk                                 3  jj
breeze                                3  nn
waved                                 3  vbd
mm.                                   3  nn
tart                                  3  jj
franchise                             3  nn
distant                               3  jj
ballad                                3  nn
rhythms                               3  nns
fireworks                             3  nns
sarah                                 3  np
wine                                  3  nn
departure                             3  nn
consisting                            3  vbg
steve                                 3  np
eddie                                 3  np
seminar                               3  nn
julie                                 3  np
stan                                  3  np
principally                           3  rb
shearing                              3  np
occur                                 3  vb
rhythmic                              3  jj
disc                                  3  nn
ample                                 3  jj
spelled                               3  vbn
operatic                              3  jj
narrow                                3  jj
aerial                                3  jj
peck                                  3  np
grapes                                3  nns
urging                                3  vbg
halt                                  3  vb
deed                                  3  nn
willy                                 3  np
v-1                                   3  nn
sunnyvale                             3  np
shipping                              3  vbg
mechanism                             3  nn
beneath                               3  in
landed                                3  vbd
suicide                               3  nn
serene                                3  np
celebration                           3  nn
angelo                                3  np
fred                                  3  np
adequately                            3  rb
janitors'                             3  nns$
shore                                 3  vb
buddy                                 3  nn
gus                                   3  np
arger                                 3  np
slugger                               3  nn
tony                                  3  np
taxi                                  3  nn
curtis                                3  np
suppressed                            3  vbn
