Tag A        Tag B          P(Tag_A, Tag_B)
ber          at                    0.046489
ber          beg                   0.007913
ber          cc                    0.001978
ber          cd                    0.013848
ber          cs                    0.006924
ber          dt                    0.001978
ber          dti                   0.004946
ber          dts                   0.006924
ber          dtx                   0.001978
ber          hvg                   0.002967
ber          in                    0.038576
ber          jj                    0.093966
ber          jj-tl                 0.001978
ber          jjr                   0.002967
ber          jjs                   0.001978
ber          jjt                   0.001978
ber          nn                    0.01088
ber          nns                   0.021761
ber          nns-tl                0.001978
ber          np                    0.016815
ber          nps                   0.001978
ber          nr                    0.001978
ber          pn                    0.003956
ber          pp$                   0.005935
ber          ppss                  0.007913
ber          ql                    0.0455
ber          rb                    0.080119
ber          rbt                   0.002967
ber          to                    0.014837
ber          vbg                   0.084075
ber          vbn                   0.136499
ber          wdt                   0.001978
ber*         at                    0.006969
ber*         ppss                  0.010453
ber*         ql                    0.010453
ber*         vbg                   0.006969
ber*         vbn                   0.013937
ber-hl       jj-hl                 0.007143
ber-hl       vbn-hl                0.007143
ber-tl       ''                    0.014085
ber-tl       nns-tl                0.007042
ber-tl       ppss-tl               0.007042
ber-tl       vbg-tl                0.007042
bez          *                     0.040272
bez          ,                     0.015041
bez          --                    0.001456
bez          .                     0.003882
bez          ``                    0.005337
bez          abl                   0.002426
bez          abn                   0.003396
bez          abx                   0.001941
bez          ap                    0.006793
bez          at                    0.19214
bez          beg                   0.011645
bez          cc                    0.002426
bez          cd                    0.018438
bez          cs                    0.022804
bez          dt                    0.009219
bez          dti                   0.002426
bez          ex                    0.001456
bez          fw-nn-tl              0.00097
bez          hvg                   0.00097
bez          in                    0.041727
bez          jj                    0.093644
bez          jj-tl                 0.001456
bez          jjr                   0.001941
bez          jjs                   0.00097
bez          jjt                   0.00097
bez          nn                    0.020864
bez          nn$                   0.00097
bez          nn-tl                 0.002426
bez          nns                   0.001941
bez          nns-tl                0.00097
bez          np                    0.009704
bez          np$                   0.001456
bez          np-tl                 0.00097
bez          nr                    0.001941
bez          pn                    0.006793
bez          pp$                   0.006793
bez          pp$$                  0.00097
bez          ppl                   0.001456
bez          pps                   0.004367
bez          ppss                  0.00097
bez          ql                    0.043668
bez          rb                    0.086366
bez          rbr                   0.002426
bez          rbt                   0.00097
bez          rp                    0.005337
bez          to                    0.016982
bez          vb                    0.00097
bez          vbg                   0.063076
bez          vbn                   0.114508
bez          wdt                   0.003882
bez          wps                   0.00097
bez          wrb                   0.004852
bez*         )                     0.006757
bez*         ,                     0.006757
bez*         .                     0.006757
bez*         at                    0.010135
bez*         jj                    0.016892
bez*         ql                    0.006757
bez*         rb                    0.010135
bez*         vbg                   0.016892
bez*         vbn                   0.006757
bez*         wdt                   0.006757
bez-hl       in-hl                 0.007067
bez-hl       jj-hl                 0.010601
bez-hl       vbn-hl                0.010601
bez-tl       pp$-tl                0.007168
cc           '                     0.000353
cc           ''                    0.00053
cc           (                     0.000883
cc           *                     0.007949
cc           ,                     0.010775
cc           .                     0.00053
cc           4                     0.000353
cc           :                     0.000353
cc           ``                    0.006359
cc           abn                   0.00371
cc           abx                   0.000353
cc           ap                    0.021728
cc           at                    0.107048
cc           at-tl                 0.000883
cc           be                    0.00106
cc           bed                   0.00106
cc           bedz                  0.004416
cc           beg                   0.000353
cc           bem                   0.000353
cc           ber                   0.00265
cc           bez                   0.005653
cc           bez*                  0.000353
cc           cc                    0.000707
cc           cd                    0.019784
cc           cd-tl                 0.001237
cc           cs                    0.017488
cc           do                    0.000707
cc           do*                   0.000353
cc           dod                   0.000883
cc           dod*                  0.00053
cc           doz                   0.000883
cc           dt                    0.007596
cc           dt+bez                0.000883
cc           dti                   0.003356
cc           dts                   0.002826
cc           dtx                   0.000353
cc           ex                    0.005299
cc           fw-nn                 0.000353
cc           hv                    0.001766
cc           hvd                   0.00159
cc           hvz                   0.003356
cc           in                    0.043455
cc           jj                    0.080551
cc           jj-tl                 0.007066
cc           jjr                   0.002473
cc           jjs                   0.000707
cc           jjt                   0.000353
cc           md                    0.007949
cc           md*                   0.000883
cc           nn                    0.106872
cc           nn$                   0.00053
cc           nn-tl                 0.012189
cc           nns                   0.057764
cc           nns$                  0.00053
cc           nns-tl                0.00053
cc           np                    0.089207
cc           np$                   0.00318
cc           np-tl                 0.003533
cc           nps                   0.00265
cc           nr                    0.002296
cc           nr$                   0.000353
cc           nr-tl                 0.000353
cc           nrs                   0.000353
cc           od                    0.00265
cc           od-tl                 0.000707
cc           pn                    0.00212
cc           pn$                   0.000353
cc           pp$                   0.026497
cc           pp$$                  0.000353
cc           pp$-tl                0.000353
cc           ppl                   0.000707
cc           pps                   0.02791
cc           pps+bez               0.00212
cc           pps+hvz               0.000353
cc           ppss                  0.019608
cc           ppss+bem              0.000707
cc           ppss+ber              0.000707
cc           ppss+md               0.001237
cc           ql                    0.011305
cc           rb                    0.052288
cc           rbr                   0.001237
cc           rp                    0.001413
cc           to                    0.007066
cc           uh                    0.000707
cc           vb                    0.036036
cc           vbd                   0.03268
cc           vbg                   0.021021
cc           vbn                   0.022258
cc           vbn-tl                0.000353
cc           vbz                   0.009716
cc           wdt                   0.003886
cc           wp$                   0.00053
cc           wps                   0.002473
cc           wrb                   0.006713
cc-hl        at-hl                 0.006803
cc-hl        jj-hl                 0.006803
cc-hl        nn-hl                 0.013605
cc-hl        nns-hl                0.013605
cc-hl        np-hl                 0.010204
cc-hl        nps-hl                0.006803
cc-hl        rb-hl                 0.017007
cc-hl        vbz-hl                0.006803
cc-tl        abn-tl                0.014045
cc-tl        cd-tl                 0.005618
cc-tl        jj-tl                 0.030899
cc-tl        nn$-tl                0.005618
cc-tl        nn-tl                 0.089888
cc-tl        nns$-tl               0.005618
cc-tl        nns-tl                0.02809
cc-tl        np                    0.008427
cc-tl        np-tl                 0.036517
cc-tl        nps                   0.005618
cc-tl        vb-tl                 0.014045
cc-tl        vbg-tl                0.005618
cc-tl        vbn-tl                0.005618
cc-tl-hl     nn-tl-hl              0.007143
cc-tl-hl     np-hl                 0.007143
cd           ''                    0.006143
cd           (                     0.001617
cd           )                     0.021985
cd           ,                     0.09376
cd           --                    0.00388
cd           .                     0.086001
cd           ``                    0.002586
cd           abn                   0.000647
cd           ap                    0.011639
cd           at                    0.004203
cd           bed                   0.003556
cd           bedz                  0.00291
cd           ber                   0.001617
cd           bez                   0.00291
cd           cc                    0.033301
cd           cd                    0.020045
cd           cs                    0.004203
cd           dod                   0.000647
cd           doz                   0.000647
cd           dt                    0.003233
cd           ex                    0.00097
cd           hv                    0.00097
cd           hvd                   0.001293
cd           in                    0.128354
cd           jj                    0.047203
cd           jj-tl                 0.005173
cd           jjs                   0.002263
cd           jjt                   0.000647
cd           md                    0.005496
cd           md*                   0.000647
cd           nn                    0.09279
cd           nn$                   0.000647
cd           nn-tl                 0.00388
cd           nns                   0.233107
cd           nns$                  0.00291
cd           nns-tl                0.002586
cd           np                    0.016166
cd           np$                   0.00097
cd           np-tl                 0.00194
cd           nps                   0.005173
cd           nr                    0.001293
cd           od                    0.000647
cd           pps                   0.000647
cd           ppss                  0.000647
cd           ql                    0.00291
cd           rb                    0.025542
cd           rp                    0.00194
cd           to                    0.003233
cd           vb                    0.002263
cd           vbd                   0.007759
cd           vbg                   0.006466
cd           vbn                   0.00679
cd           vbz                   0.001617
cd           wdt                   0.00097
cd           wps                   0.004203
cd           wrb                   0.002586
cd$          cd                    0.007143
cd$          nn                    0.007143
cd-hl        (-hl                  0.028846
cd-hl        )                     0.009615
cd-hl        ,-hl                  0.00641
cd-hl        --                    0.012821
cd-hl        .-hl                  0.012821
cd-hl        in-hl                 0.009615
cd-hl        nns-hl                0.035256
cd-hl        np-hl                 0.00641
cd-hl        nps-hl                0.00641
cd-hl        vb-hl                 0.009615
cd-hl        vbn-hl                0.00641
cd-tl        ''                    0.018307
cd-tl        )                     0.016018
cd-tl        ,                     0.09611
cd-tl        .                     0.032037
cd-tl        :-tl                  0.004577
cd-tl        cc                    0.011442
cd-tl        cc-tl                 0.004577
cd-tl        cd-tl                 0.006865
cd-tl        fw-nns-tl             0.004577
cd-tl        in                    0.020595
cd-tl        jj-tl                 0.018307
cd-tl        nn                    0.016018
cd-tl        nn-tl                 0.043478
cd-tl        nns                   0.004577
cd-tl        nns-tl                0.016018
cd-tl        np                    0.004577
cd-tl        np-tl                 0.05492
cd-tl        nps                   0.004577
cd-tl        nr                    0.004577
cd-tl        od-tl                 0.009153
cd-tl        rb                    0.004577
cd-tl        rb-tl                 0.006865
cd-tl        to                    0.006865
cd-tl        vb                    0.004577
cd-tl        vbd                   0.006865
cd-tl-hl     vb-hl                 0.007168
cs           *                     0.003317
cs           ,                     0.007238
cs           --                    0.000603
cs           .                     0.000603
cs           :                     0.000603
cs           ``                    0.013571
cs           abl                   0.001809
cs           abn                   0.004825
cs           abx                   0.000905
cs           ap                    0.013269
cs           at                    0.269903
cs           at-tl                 0.000905
cs           bedz                  0.001206
cs           beg                   0.002111
cs           ber                   0.000905
cs           cc                    0.002413
cs           cd                    0.012666
cs           cs                    0.022014
cs           do                    0.001206
cs           dod                   0.001508
cs           doz                   0.000603
cs           dt                    0.020507
cs           dt+bez                0.000905
cs           dti                   0.009952
cs           dts                   0.004222
cs           dtx                   0.000905
cs           ex                    0.01146
cs           fw-at-tl              0.000603
cs           fw-nn                 0.000603
cs           hvd                   0.000603
cs           hvg                   0.000603
cs           hvz                   0.001206
cs           in                    0.03076
cs           jj                    0.038299
cs           jj-tl                 0.002714
cs           jjr                   0.002111
cs           jjs                   0.000603
cs           md                    0.001206
cs           nn                    0.041918
cs           nn$                   0.000603
cs           nn$-tl                0.000603
cs           nn-tl                 0.012666
cs           nns                   0.025935
cs           nns-tl                0.000603
cs           np                    0.060012
cs           np$                   0.00392
cs           np-tl                 0.001508
cs           nps                   0.003016
cs           nr                    0.000905
cs           nr$                   0.000905
cs           nr-tl                 0.000603
cs           pn                    0.010253
cs           pn$                   0.000603
cs           pp$                   0.026236
cs           pp$$                  0.001206
cs           ppl                   0.000603
cs           ppo                   0.000905
cs           pps                   0.108565
cs           pps+bez               0.002413
cs           pps+md                0.000905
cs           ppss                  0.074186
cs           ppss+bem              0.000603
cs           ppss+ber              0.002413
cs           ppss+hv               0.000603
cs           ppss+hvd              0.000603
cs           ppss+md               0.001206
cs           ql                    0.003016
cs           rb                    0.013872
cs           rbr                   0.000603
cs           to                    0.003619
cs           vb                    0.001206
cs           vbd                   0.000603
cs           vbg                   0.028347
cs           vbn                   0.008142
cs           vbn-tl                0.000603
cs           vbz                   0.001206
cs           vbz-tl                0.000603
cs           wdt                   0.002111
cs           wrb                   0.002111
cs-hl        ex                    0.007117
cs-hl        vbg-hl                0.007117
cs-hl        vbn-hl                0.007117
cs-tl        ppss+hv-tl            0.007168
do           ''                    0.012931
do           (                     0.00431
do           *                     0.060345
do           ,                     0.017241
do           .                     0.017241
do           abn                   0.00431
do           abx                   0.00431
do           ap                    0.006466
do           at                    0.040948
do           bedz                  0.006466
do           bez                   0.008621
do           cc                    0.010776
do           cs                    0.006466
do           dt                    0.017241
do           dti                   0.006466
do           in                    0.038793
do           nn                    0.008621
do           np                    0.00431
do           nr                    0.00431
do           pn                    0.017241
do           pp$                   0.015086
do           ppo                   0.021552
do           ppss                  0.036638
do           ppss+ber              0.00431
do           ql                    0.012931
do           rb                    0.038793
do           rbr                   0.010776
do           to                    0.006466
do           vb                    0.012931
do           wdt                   0.006466
do           wps                   0.00431
do*          at                    0.00627
do*          ppss                  0.00627
do*          rb                    0.00627
do*          vb                    0.122257
do-hl        *-hl                  0.007143
do-hl        nn-hl                 0.007143
do-tl        ppo-tl                0.010676
do-tl        wps-tl                0.007117
dod          ''                    0.005155
dod          *                     0.095361
dod          ,                     0.018041
dod          --                    0.007732
dod          .                     0.015464
dod          ``                    0.005155
dod          ap                    0.007732
dod          at                    0.028351
dod          bed                   0.005155
dod          dti                   0.005155
dod          in                    0.023196
dod          jj                    0.010309
dod          nn                    0.005155
dod          nns                   0.005155
dod          np                    0.010309
dod          pn                    0.005155
dod          pp$                   0.010309
dod          ppo                   0.007732
dod          ppss                  0.010309
dod          rb                    0.007732
dod          vb                    0.046392
dod          wdt                   0.005155
dod*         .                     0.006667
dod*         hv                    0.01
dod*         rb                    0.01
dod*         vb                    0.06
dod*-tl      pps-tl                0.007168
doz          *                     0.108108
doz          ,                     0.010811
doz          .                     0.013514
doz          ap                    0.005405
doz          at                    0.032432
doz          cd                    0.005405
doz          dt                    0.010811
doz          hv                    0.008108
doz          in                    0.008108
doz          nn                    0.010811
doz          nn-tl                 0.005405
doz          pp$                   0.008108
doz          ppo                   0.008108
doz          pps                   0.02973
doz          rb                    0.013514
doz          vb                    0.010811
doz          vbz                   0.005405
doz*         rb                    0.013115
doz*         vb                    0.081967
dt           '                     0.001315
dt           ''                    0.003287
dt           ,                     0.019724
dt           --                    0.003945
dt           .                     0.017094
dt           :                     0.001972
dt           ``                    0.00526
dt           abn                   0.001315
dt           ap                    0.011177
dt           ap$                   0.001972
dt           at                    0.001972
dt           bedz                  0.017751
dt           bedz*                 0.001972
dt           bez                   0.074293
dt           bez*                  0.00263
dt           cc                    0.004602
dt           cd                    0.010519
dt           cs                    0.003945
dt           dod                   0.001315
dt           doz                   0.001972
dt           doz*                  0.001315
dt           hvd                   0.00263
dt           hvz                   0.00263
dt           in                    0.034845
dt           jj                    0.078238
dt           jj-tl                 0.001972
dt           jjs                   0.001972
dt           jjt                   0.00263
dt           md                    0.028271
dt           md*                   0.003287
dt           nn                    0.405654
dt           nn$                   0.011834
dt           nn$-tl                0.001315
dt           nn-tl                 0.003287
dt           nns                   0.00263
dt           np                    0.009862
dt           np-tl                 0.001315
dt           nr                    0.00526
dt           nr$                   0.001315
dt           od                    0.00526
dt           od-tl                 0.001315
dt           pp$                   0.001315
dt           pps                   0.00263
dt           ppss                  0.001315
dt           ppss+md               0.001315
dt           ql                    0.00263
dt           rb                    0.00526
dt           rbr                   0.001315
dt           rp                    0.001315
dt           to                    0.001315
dt           vb                    0.003287
dt           vbd                   0.009862
dt           vbg                   0.006575
dt           vbn                   0.001972
dt           vbz                   0.015122
dt           wdt                   0.003945
dt$          nns                   0.007168
dt+bez       (                     0.006826
dt+bez       *                     0.010239
dt+bez       abn                   0.010239
dt+bez       at                    0.013652
dt+bez       cs                    0.006826
dt+bez       pp$                   0.006826
dt+bez       ql                    0.006826
dt+bez       vbn                   0.006826
dt+bez       wdt                   0.010239
dt+bez       wrb                   0.006826
dt-hl        nn-hl                 0.007168
dt-tl        ben-tl                0.007092
dt-tl        nn-tl                 0.014184
dti          ''                    0.002821
dti          ,                     0.002821
dti          .                     0.002821
dti          ap                    0.039492
dti          at                    0.002821
dti          ber                   0.002821
dti          cc                    0.002821
dti          cd                    0.022567
dti          fw-jj                 0.002821
dti          in                    0.105783
dti          jj                    0.09732
dti          jj-tl                 0.002821
dti          jjr                   0.005642
dti          md                    0.002821
dti          nn                    0.208745
dti          nn$-tl                0.002821
dti          nns                   0.077574
dti          np                    0.008463
dti          od                    0.002821
dti          pp$                   0.002821
dti          ql                    0.008463
dti          rb                    0.005642
dti          rbr                   0.002821
dti          vb                    0.005642
dti          vbd                   0.004231
dti          vbg                   0.004231
dti          vbn                   0.012694
dti          wps                   0.004231
dti-hl       jj-hl                 0.007168
dts          ,                     0.003478
dts          --                    0.003478
dts          ``                    0.003478
dts          ap                    0.003478
dts          at                    0.003478
dts          bed                   0.005217
dts          ber                   0.017391
dts          bez                   0.003478
dts          cc                    0.005217
dts          cd                    0.01913
dts          hv                    0.005217
dts          hvg                   0.003478
dts          in                    0.038261
dts          jj                    0.057391
dts          md                    0.010435
dts          nn                    0.013913
dts          nns                   0.21913
dts          nns$                  0.003478
dts          nns-tl                0.003478
dts          nps                   0.003478
dts          pn                    0.003478
dts          pps                   0.003478
dts          ppss                  0.003478
dts          ql                    0.003478
dts          rb                    0.017391
dts          to                    0.003478
dts          vb                    0.006957
dts          vbd                   0.005217
dts          vbg                   0.010435
dts          vbn                   0.013913
dts          wdt                   0.003478
dts          wp$                   0.003478
dts          wps                   0.069565
dtx          .                     0.00678
dtx          bedz                  0.00678
dtx          cd                    0.00678
dtx          hvd                   0.00678
dtx          in                    0.010169
dtx          jj                    0.013559
dtx          nn                    0.020339
dtx          np                    0.00678
dtx          vbd                   0.010169
ex           ``                    0.003361
ex           be                    0.005042
ex           bed                   0.045378
ex           bed*                  0.003361
ex           bedz                  0.077311
ex           bedz*                 0.003361
ex           ben                   0.003361
ex           ber                   0.090756
ex           bez                   0.178151
ex           dti                   0.003361
ex           hv                    0.006723
ex           hvd                   0.006723
ex           hvz                   0.018487
ex           in                    0.003361
ex           md                    0.070588
ex           md*                   0.005042
ex           pn                    0.003361
ex           rb                    0.016807
ex           vbd                   0.011765
ex           vbz                   0.010084
ex+bez       *                     0.007018
ex+bez       ap                    0.010526
ex+bez       at                    0.014035
ex+bez       pn                    0.007018
fw-at+nn-tl  fw-in                 0.007168
fw-at+np-tl  ''                    0.010714
fw-at-hl     np-tl                 0.007168
fw-at-tl     fw-jj-tl              0.03
fw-at-tl     fw-nn-tl              0.026667
fw-at-tl     fw-rb-tl              0.006667
fw-at-tl     nn$-tl                0.006667
fw-at-tl     nn-tl                 0.006667
fw-at-tl     np                    0.006667
fw-at-tl     np$                   0.006667
fw-at-tl     np-tl                 0.006667
fw-at-tl     nps-tl                0.006667
fw-cc        fw-nns                0.010714
fw-cc-tl     fw-od-tl              0.007143
fw-cc-tl     nns-tl                0.007143
fw-cd        ,                     0.007067
fw-cd        in                    0.014134
fw-cd        vbn                   0.007067
fw-dt        nn                    0.007168
fw-in        fw-at-tl              0.006645
fw-in        fw-cd                 0.019934
fw-in        fw-dt                 0.006645
fw-in        fw-nn                 0.043189
fw-in        fw-nn-tl              0.009967
fw-in        np                    0.006645
fw-in        np-tl                 0.006645
fw-in+at-t   fw-od-tl              0.007168
fw-in+at-tl  fw-nn-tl              0.007143
fw-in+at-tl  fw-od-tl              0.007143
fw-in+nn     .                     0.007168
fw-in+nn-tl  fw-in+at-tl           0.007168
fw-in-tl     fw-nn-tl              0.007117
fw-in-tl     np                    0.010676
fw-jj        ''                    0.007018
fw-jj        ,                     0.007018
fw-jj        .                     0.007018
fw-jj        fw-nn                 0.010526
fw-jj        in                    0.007018
fw-jj        rb                    0.007018
fw-jj-tl     ''                    0.006667
fw-jj-tl     ,                     0.006667
fw-jj-tl     .                     0.01
fw-jj-tl     ber                   0.006667
fw-jj-tl     fw-in                 0.006667
fw-jj-tl     fw-in+at-t            0.006667
fw-jj-tl     fw-in+at-tl           0.006667
fw-jj-tl     fw-jj-tl              0.006667
fw-jj-tl     fw-nn-tl              0.033333
fw-jj-tl     in                    0.01
fw-jj-tl     np-tl                 0.006667
fw-jj-tl     vb                    0.006667
fw-nn        ,                     0.012698
fw-nn        .                     0.009524
fw-nn        bez                   0.006349
fw-nn        cc                    0.009524
fw-nn        fw-in                 0.034921
fw-nn        fw-in+nn              0.006349
fw-nn        fw-jj                 0.015873
fw-nn        hvz                   0.006349
fw-nn        in                    0.019048
fw-nn        nn                    0.022222
fw-nn        to                    0.006349
fw-nn        vbn                   0.006349
fw-nn-tl     ''                    0.030769
fw-nn-tl     (                     0.012308
fw-nn-tl     ,                     0.021538
fw-nn-tl     .                     0.015385
fw-nn-tl     ap                    0.006154
fw-nn-tl     at-tl                 0.006154
fw-nn-tl     bez                   0.006154
fw-nn-tl     cc                    0.009231
fw-nn-tl     do                    0.006154
fw-nn-tl     fw-in                 0.006154
fw-nn-tl     fw-in+nn-tl           0.006154
fw-nn-tl     fw-in-tl              0.006154
fw-nn-tl     fw-jj                 0.006154
fw-nn-tl     fw-jj-tl              0.018462
fw-nn-tl     hvz                   0.012308
fw-nn-tl     in                    0.009231
fw-nn-tl     in-tl                 0.009231
fw-nn-tl     nn                    0.006154
fw-nn-tl     np                    0.006154
fw-nn-tl     rb                    0.006154
fw-nns       ''                    0.01049
fw-nns       ,                     0.020979
fw-nns       .                     0.006993
fw-nns-tl    fw-cc-tl              0.007067
fw-nns-tl    fw-in-tl              0.007067
fw-nns-tl    fw-jj-tl              0.010601
fw-nns-tl    vbz                   0.007067
fw-np        (                     0.007168
fw-od-tl     fw-cc-tl              0.007117
fw-od-tl     fw-nn-tl              0.007117
fw-od-tl     fw-nns-tl             0.007117
fw-pp$-nc    fw-nns                0.007168
fw-ppl       bez                   0.007168
fw-rb-tl     ''                    0.007143
fw-rb-tl     fw-at-tl              0.007143
fw-vb        fw-vb-nc              0.007143
fw-vb        nps                   0.007143
fw-vb-nc     ,                     0.007168
fw-vbd-tl    fw-nn-tl              0.007168
fw-wdt       ,                     0.007143
fw-wdt       in                    0.007143
hv           *                     0.009081
hv           ,                     0.005675
hv           --                    0.00227
hv           abl                   0.003405
hv           abx                   0.003405
hv           ap                    0.013621
hv           at                    0.090806
hv           ben                   0.127128
hv           bez                   0.00227
hv           cc                    0.00227
hv           cd                    0.010216
hv           cs                    0.00227
hv           dt                    0.00227
hv           dti                   0.00681
hv           dts                   0.003405
hv           hvn                   0.011351
hv           in                    0.010216
hv           jj                    0.020431
hv           nn                    0.017026
hv           nn-tl                 0.00227
hv           nns                   0.012486
hv           np                    0.007946
hv           pn                    0.010216
hv           pp$                   0.012486
hv           ppo                   0.005675
hv           ppss                  0.00227
hv           ql                    0.009081
hv           rb                    0.047673
hv           to                    0.047673
hv           vbg                   0.00227
hv           vbn                   0.215664
hv*          rb                    0.007168
hvd          ''                    0.002937
hvd          )                     0.002937
hvd          *                     0.007342
hvd          ,                     0.007342
hvd          ``                    0.008811
hvd          abn                   0.004405
hvd          ap                    0.013216
hvd          at                    0.077827
hvd          bedz                  0.002937
hvd          ben                   0.093979
hvd          cd                    0.007342
hvd          dt                    0.004405
hvd          dti                   0.005874
hvd          hvn                   0.007342
hvd          in                    0.008811
hvd          jj                    0.007342
hvd          nn                    0.005874
hvd          nn-tl                 0.002937
hvd          nns                   0.004405
hvd          np                    0.004405
hvd          pn                    0.005874
hvd          pp$                   0.010279
hvd          pps                   0.008811
hvd          ppss                  0.004405
hvd          ql                    0.007342
hvd          rb                    0.044053
hvd          to                    0.035242
hvd          vbn                   0.234949
hvd          wdt                   0.002937
hvd*         ben                   0.007143
hvd*         vbn                   0.007143
hvd-hl       to-hl                 0.007168
hvg          ,                     0.006452
hvg          at                    0.029032
hvg          ben                   0.006452
hvg          dt                    0.006452
hvg          pn                    0.006452
hvg          pp$                   0.009677
hvg          rb                    0.006452
hvg          to                    0.012903
hvg          vbn                   0.048387
hvn          *                     0.006472
hvn          ap                    0.006472
hvn          at                    0.042071
hvn          cd                    0.006472
hvn          cs                    0.009709
hvn          in                    0.006472
hvn          jj                    0.009709
hvn          nn                    0.009709
hvn          nns                   0.012945
hvn          ppo                   0.006472
hvn          ql                    0.009709
hvn          to                    0.009709
hvn          vbn                   0.006472
hvz          *                     0.022917
hvz          ,                     0.007292
hvz          .                     0.002083
hvz          abl                   0.003125
hvz          abn                   0.003125
hvz          ap                    0.007292
hvz          at                    0.067708
hvz          ben                   0.163542
hvz          cd                    0.009375
hvz          cs                    0.002083
hvz          dt                    0.005208
hvz          dti                   0.005208
hvz          ex                    0.003125
hvz          hvn                   0.009375
hvz          in                    0.005208
hvz          jj                    0.009375
hvz          jjr                   0.002083
hvz          md                    0.002083
hvz          nn                    0.009375
hvz          nn-tl                 0.002083
hvz          nns                   0.005208
hvz          np                    0.002083
hvz          nr                    0.002083
hvz          pn                    0.005208
hvz          pp$                   0.007292
hvz          ppo                   0.002083
hvz          ql                    0.00625
hvz          rb                    0.059375
hvz          to                    0.013542
hvz          vbg                   0.002083
hvz          vbn                   0.295833
hvz*         hvn                   0.007018
hvz*         vbn                   0.024561
hvz-tl       dt-tl                 0.007168
in           '                     0.000157
in           ''                    0.000261
in           (                     0.000157
in           *                     0.000313
in           ,                     0.000887
in           --                    0.000157
in           .                     0.001096
in           2                     0.000157
in           2%                    0.000104
in           4                     0.000157
in           8                     0.000104
in           :                     0.000261
in           ``                    0.006317
in           abl                   0.000522
in           abn                   0.007935
in           abx                   0.001932
in           ap                    0.012477
in           at                    0.361681
in           at-tl                 0.000887
in           be                    0.000104
in           bed                   0.000104
in           beg                   0.001514
in           bez                   0.000209
in           cc                    0.001149
in           cd                    0.04474
in           cd$                   0.000157
in           cd-tl                 0.001253
in           cs                    0.000992
in           dt                    0.021196
in           dti                   0.007413
in           dts                   0.006943
in           dtx                   0.000365
in           fw-at+nn-tl           0.000104
in           fw-at-tl              0.000157
in           fw-nns                0.000104
in           fw-pp$-nc             0.000104
in           fw-ppl                0.000104
in           fw-vb                 0.000104
in           hvg                   0.000626
in           in                    0.012007
in           jj                    0.059306
in           jj-tl                 0.011537
in           jjr                   0.001671
in           jjr-tl                0.000261
in           jjs                   0.000261
in           jjs-tl                0.000104
in           jjt                   0.000261
in           md                    0.000104
in           nn                    0.118925
in           nn$                   0.000626
in           nn$-tl                0.000157
in           nn-tl                 0.015923
in           nns                   0.043331
in           nns$                  0.000418
in           nns-tl                0.001096
in           np                    0.089637
in           np$                   0.007152
in           np$-tl                0.000209
in           np-tl                 0.009345
in           nps                   0.001044
in           nr                    0.004333
in           nr$                   0.001149
in           nr$-tl                0.000157
in           od                    0.001462
in           od-tl                 0.000679
in           pn                    0.002036
in           pn$                   0.000209
in           pp$                   0.047194
in           pp$$                  0.000365
in           pp$-tl                0.000104
in           ppl                   0.001096
in           ppls                  0.000313
in           ppo                   0.017071
in           pps                   0.000157
in           ql                    0.00308
in           rb                    0.006943
in           rbr                   0.000104
in           rbt                   0.000104
in           rn                    0.000209
in           rp                    0.000157
in           to                    0.000261
in           uh                    0.000104
in           vb                    0.000365
in           vbd                   0.000104
in           vbg                   0.029079
in           vbg-tl                0.000104
in           vbn                   0.00402
in           vbn-tl                0.000626
in           wdt                   0.010076
in           wp$                   0.000261
in           wpo                   0.00094
in           wps                   0.000104
in           wrb                   0.000992
in-hl        .-hl                  0.006593
in-hl        at-hl                 0.153846
in-hl        cd-hl                 0.015385
in-hl        in-hl                 0.010989
in-hl        jj-hl                 0.021978
in-hl        jj-tl-hl              0.004396
in-hl        jjr-hl                0.004396
in-hl        jjt-hl                0.004396
in-hl        nn-hl                 0.09011
in-hl        nn-tl-hl              0.004396
in-hl        nns-hl                0.048352
in-hl        np-hl                 0.03956
in-hl        np-tl                 0.006593
in-hl        rb-hl                 0.004396
in-hl        rn                    0.004396
in-hl        vbg-hl                0.004396
in-tl        ''                    0.003205
in-tl        ``                    0.004808
in-tl        at-tl                 0.099359
in-tl        cd-tl                 0.003205
in-tl        jj-tl                 0.060897
in-tl        nn-tl                 0.177885
in-tl        nns                   0.003205
in-tl        nns$-tl               0.003205
in-tl        nns-tl                0.057692
in-tl        np                    0.025641
in-tl        np$                   0.003205
in-tl        np$-tl                0.003205
in-tl        np-tl                 0.113782
in-tl        nps                   0.003205
in-tl        pn-tl                 0.003205
in-tl        ppo-tl                0.004808
in-tl        rb-tl                 0.003205
in-tl        vb-tl                 0.003205
in-tl        vbg-tl                0.003205
in-tl        vbn-tl                0.004808
in-tl        wpo-tl                0.003205
in-tl-hl     jj-tl-hl              0.007117
in-tl-hl     nn-tl-hl              0.007117
in-tl-hl     np-hl                 0.007117
jj           '                     0.000598
jj           ''                    0.008376
jj           (                     0.000798
jj           )                     0.001197
jj           ,                     0.047562
jj           --                    0.003091
jj           .                     0.033702
jj           :                     0.000997
jj           ``                    0.004487
jj           abn                   0.000698
jj           ap                    0.001296
jj           at                    0.00359
jj           bed                   0.000199
jj           bedz                  0.000499
jj           beg                   0.000199
