Tag          Kelime                          P(Kelime, Tag)
nn           outlook                            0.000255102
nn           outpatient                         4.2517e-05
nn           outpost                            4.2517e-05
nn           output                             8.5034e-05
nn           outset                             0.000170068
nn           outside                            0.000297619
nn           outsider                           4.2517e-05
nn           ovation                            4.2517e-05
nn           overcrowding                       4.2517e-05
nn           overhauling                        8.5034e-05
nn           overhead                           4.2517e-05
nn           overriding                         4.2517e-05
nn           overseas                           8.5034e-05
nn           overthrow                          4.2517e-05
nn           overtime                           4.2517e-05
nn           overweight                         4.2517e-05
nn           owner                              0.000297619
nn           ownership                          0.000212585
nn           p's                                4.2517e-05
nn           p.                                 4.2517e-05
nn           pace                               0.000382653
nn           pacemaker                          4.2517e-05
nn           pacifier                           4.2517e-05
nn           pack                               4.2517e-05
nn           paean                              4.2517e-05
nn           page                               0.000382653
nn           pageant                            4.2517e-05
nn           pain                               0.000127551
nn           painter                            0.000212585
nn           painting                           0.000255102
nn           pair                               0.000467687
nn           pal                                4.2517e-05
nn           palace                             8.5034e-05
nn           palette                            8.5034e-05
nn           palm                               8.5034e-05
nn           palsy                              4.2517e-05
nn           pan                                8.5034e-05
nn           panel                              0.000510204
nn           paneling                           8.5034e-05
nn           panic                              8.5034e-05
nn           paper                              0.000382653
nn           papier-mache                       4.2517e-05
nn           par                                0.000340136
nn           par-3                              4.2517e-05
nn           par-5                              4.2517e-05
nn           parade                             0.000255102
nn           paradox                            8.5034e-05
nn           paragon                            4.2517e-05
nn           paragraph                          4.2517e-05
nn           paragraphing                       4.2517e-05
nn           paralysis                          4.2517e-05
nn           paraphernalia                      4.2517e-05
nn           pardon                             4.2517e-05
nn           parent                             4.2517e-05
nn           parenthood                         4.2517e-05
nn           parish                             4.2517e-05
nn           park                               0.00042517
nn           parkway                            8.5034e-05
nn           parliament                         4.2517e-05
nn           parlor                             8.5034e-05
nn           parody                             4.2517e-05
nn           parole                             0.000297619
nn           part                               0.00318878
nn           participation                      0.000340136
nn           partisan                           8.5034e-05
nn           partner                            0.000297619
nn           partnership                        4.2517e-05
nn           party                              0.0034864
nn           pass                               0.000297619
nn           passage                            0.00042517
nn           passenger                          0.000170068
nn           passing                            0.000127551
nn           passion                            0.000127551
nn           passport                           4.2517e-05
nn           past                               0.00085034
nn           paste                              4.2517e-05
nn           pastel                             8.5034e-05
nn           pastime                            4.2517e-05
nn           pastor                             8.5034e-05
nn           pastry                             4.2517e-05
nn           patch                              8.5034e-05
nn           path                               0.000127551
nn           patience                           0.000127551
nn           patient                            0.000680272
nn           patio                              8.5034e-05
nn           patrician                          4.2517e-05
nn           patrol                             0.000212585
nn           patrolman                          0.000127551
nn           patronage                          0.000170068
nn           pattern                            0.000467687
nn           pause                              0.000127551
nn           pawn                               4.2517e-05
nn           pay                                0.00042517
nn           paycheck                           8.5034e-05
nn           paymaster                          4.2517e-05
nn           payment                            0.000297619
nn           payroll                            0.000595238
nn           peace                              0.00178571
nn           peace-treaty                       4.2517e-05
nn           peacetime                          4.2517e-05
nn           peacock                            4.2517e-05
nn           peak                               0.000170068
nn           peanut                             4.2517e-05
nn           pearl                              8.5034e-05
nn           peasant                            0.000127551
nn           pecan                              4.2517e-05
nn           pedal                              4.2517e-05
nn           peddler                            4.2517e-05
nn           pedestal                           0.000127551
nn           pedestrian                         8.5034e-05
nn           pen-and-ink                        4.2517e-05
nn           penalty                            0.000255102
nn           penetration                        4.2517e-05
nn           pennant                            0.000340136
nn           pension                            0.000212585
nn           penthouse                          4.2517e-05
nn           pepper                             4.2517e-05
nn           percent                            0.000255102
nn           percentage                         0.000170068
nn           percussion                         4.2517e-05
nn           perfection                         0.000127551
nn           performance                        0.00178571
nn           perfume                            4.2517e-05
nn           peril                              8.5034e-05
nn           period                             0.00127551
nn           perjury                            0.000127551
nn           permanence                         4.2517e-05
nn           permission                         8.5034e-05
nn           permit                             4.2517e-05
nn           persecution                        4.2517e-05
nn           person                             0.00102041
nn           person-to-person                   4.2517e-05
nn           personality                        0.000255102
nn           personification                    4.2517e-05
nn           perspective                        4.2517e-05
nn           persuasion                         0.000170068
nn           perusal                            8.5034e-05
nn           pessimism                          4.2517e-05
nn           pest                               4.2517e-05
nn           petition                           0.000255102
nn           petitioner                         4.2517e-05
nn           phalanx                            4.2517e-05
nn           phase                              0.000170068
nn           phenomenon                         8.5034e-05
nn           philosopher                        8.5034e-05
nn           philosophy                         0.000382653
nn           phone                              0.000170068
nn           phonetics                          4.2517e-05
nn           photographer                       4.2517e-05
nn           phrase                             0.000255102
nn           phs                                8.5034e-05
nn           physician                          0.000212585
nn           physics                            8.5034e-05
nn           physiology                         4.2517e-05
nn           pianist                            0.00042517
nn           piano                              0.000467687
nn           pickaxe                            4.2517e-05
nn           picker                             4.2517e-05
nn           picket                             8.5034e-05
nn           pickup                             0.000212585
nn           picnic                             8.5034e-05
nn           picture                            0.00106292
nn           piece                              0.000722789
nn           pier                               8.5034e-05
nn           piety                              8.5034e-05
nn           pile                               4.2517e-05
nn           pilgrimage                         8.5034e-05
nn           pillage                            4.2517e-05
nn           pillow                             0.000127551
nn           pilot                              4.2517e-05
nn           pin                                4.2517e-05
nn           pinch-hitter                       4.2517e-05
nn           pine                               4.2517e-05
nn           pineapple                          4.2517e-05
nn           pinpoint                           4.2517e-05
nn           pioneer                            8.5034e-05
nn           pipe                               4.2517e-05
nn           pipeline                           8.5034e-05
nn           pique                              4.2517e-05
nn           piracy                             4.2517e-05
nn           pirate                             4.2517e-05
nn           pistol                             8.5034e-05
nn           pit                                4.2517e-05
nn           pitch                              0.000212585
nn           pitcher                            0.000212585
nn           pitching                           0.000212585
nn           pitfall                            4.2517e-05
nn           pity                               0.000127551
nn           pizza                              4.2517e-05
nn           place                              0.00229592
nn           place-kicker                       4.2517e-05
nn           place-kicking                      0.000127551
nn           placement                          4.2517e-05
nn           plague                             4.2517e-05
nn           plan                               0.00182823
nn           plane                              0.000510204
nn           planeload                          4.2517e-05
nn           planner                            4.2517e-05
nn           planning                           0.000382653
nn           plant                              0.00042517
nn           plant-location                     4.2517e-05
nn           planting                           4.2517e-05
nn           plasm                              4.2517e-05
nn           plasticity                         4.2517e-05
nn           plate                              0.000212585
nn           platform                           0.000170068
nn           play                               0.00106292
nn           player                             0.000340136
nn           playground                         4.2517e-05
nn           playing                            0.000297619
nn           playmate                           8.5034e-05
nn           playoff                            0.000170068
nn           playtime                           4.2517e-05
nn           playwright                         8.5034e-05
nn           plea                               0.000170068
nn           pleasant                           4.2517e-05
nn           pleasure                           0.000212585
nn           pleasure-boat                      4.2517e-05
nn           pledge                             4.2517e-05
nn           plenty                             0.00042517
nn           plight                             4.2517e-05
nn           plot                               0.000340136
nn           plow                               0.000127551
nn           plumbing                           4.2517e-05
nn           plunge                             4.2517e-05
nn           pocket-size                        4.2517e-05
nn           pocketbook                         4.2517e-05
nn           podium                             4.2517e-05
nn           poem                               8.5034e-05
nn           poet                               0.000255102
nn           poetry                             0.000170068
nn           poignancy                          4.2517e-05
nn           point                              0.00208333
nn           poise                              4.2517e-05
nn           poisoning                          4.2517e-05
nn           pole                               0.000255102
nn           polemic                            4.2517e-05
nn           police                             0.000467687
nn           policeman                          0.000127551
nn           policy                             0.00191326
nn           politician                         8.5034e-05
nn           politico                           4.2517e-05
nn           politics                           0.000807823
nn           poll                               0.000255102
nn           pollen                             4.2517e-05
nn           pollution                          0.000170068
nn           polonaise                          4.2517e-05
nn           pool                               4.2517e-05
nn           pop                                4.2517e-05
nn           populace                           4.2517e-05
nn           popularity                         8.5034e-05
nn           population                         0.00110544
nn           porch                              0.000127551
nn           pork                               4.2517e-05
nn           pork-barrel                        4.2517e-05
nn           portion                            0.000255102
nn           portrait                           8.5034e-05
nn           portrayal                          0.000127551
nn           pose                               4.2517e-05
nn           position                           0.00140306
nn           possibility                        0.000807823
nn           possum                             4.2517e-05
nn           post                               0.000552721
nn           postcard                           4.2517e-05
nn           poster                             4.2517e-05
nn           postgraduate                       4.2517e-05
nn           postman                            4.2517e-05
nn           posture                            4.2517e-05
nn           pot                                4.2517e-05
nn           potato                             0.000382653
nn           potboiler                          4.2517e-05
nn           potential                          0.000127551
nn           poultry                            8.5034e-05
nn           poverty                            8.5034e-05
nn           powderpuff                         4.2517e-05
nn           power                              0.00216837
nn           practice                           0.000637755
nn           practicing                         4.2517e-05
nn           prairie                            0.000127551
nn           praise                             0.000255102
nn           prayer                             0.000127551
nn           prayer-time                        4.2517e-05
nn           pre-history                        4.2517e-05
nn           pre-primary                        8.5034e-05
nn           preacher-singer                    4.2517e-05
nn           preamble                           4.2517e-05
nn           precaution                         4.2517e-05
nn           precedent                          0.000127551
nn           precinct                           0.000297619
nn           precision                          8.5034e-05
nn           predecessor                        4.2517e-05
nn           prediction                         4.2517e-05
nn           preference                         4.2517e-05
nn           prelude                            4.2517e-05
nn           premiere                           8.5034e-05
nn           premise                            0.000127551
nn           premium                            8.5034e-05
nn           preoccupation                      4.2517e-05
nn           preparedness                       4.2517e-05
nn           prepayment                         4.2517e-05
nn           presence                           0.000170068
nn           present                            4.2517e-05
nn           presentation                       0.000382653
nn           preservation                       0.000127551
nn           presidency                         4.2517e-05
nn           president                          0.00255102
nn           press                              0.000510204
nn           pressed-paper                      4.2517e-05
nn           pressure                           0.00106292
nn           prestige                           0.000255102
nn           pretext                            4.2517e-05
nn           prevalence                         4.2517e-05
nn           prevention                         8.5034e-05
nn           preview                            4.2517e-05
nn           price                              0.000595238
nn           price-setting                      4.2517e-05
nn           pricing                            4.2517e-05
nn           pride                              0.000255102
nn           primary                            0.000595238
nn           prime                              4.2517e-05
nn           primitive-eclogue                  4.2517e-05
nn           prince                             4.2517e-05
nn           princess                           8.5034e-05
nn           princesse                          8.5034e-05
nn           principal                          0.000255102
nn           principle                          0.000510204
nn           prior-year                         4.2517e-05
nn           priority                           0.000297619
nn           prison                             0.000467687
nn           prisoner                           4.2517e-05
nn           private                            4.2517e-05
nn           private-eye                        4.2517e-05
nn           private-school                     4.2517e-05
nn           privilege                          0.000127551
nn           prize                              0.000340136
nn           pro                                0.000127551
nn           probability                        8.5034e-05
nn           probate                            4.2517e-05
nn           probation                          0.000297619
nn           problem                            0.00233843
nn           procedure                          0.000212585
nn           process                            0.000382653
nn           processing                         0.000297619
nn           processional                       4.2517e-05
nn           procurement                        4.2517e-05
nn           produce                            8.5034e-05
nn           producer                           0.000212585
nn           producer-hubby                     4.2517e-05
nn           product                            0.000510204
nn           production                         0.00114796
nn           profession                         0.000382653
nn           professor                          0.000170068
nn           profit                             0.000127551
nn           progeny                            4.2517e-05
nn           prognostication                    4.2517e-05
nn           prognosticator                     4.2517e-05
nn           program                            0.00620748
nn           programing                         4.2517e-05
nn           progress                           0.000680272
nn           prohibition                        8.5034e-05
nn           project                            0.00136054
nn           projection                         4.2517e-05
nn           proletariat                        4.2517e-05
nn           promise                            0.000127551
nn           promoter                           4.2517e-05
nn           promotion                          0.000212585
nn           proof                              0.000170068
nn           propaganda                         0.000297619
nn           propeller                          4.2517e-05
nn           property                           0.000935374
nn           prophet                            4.2517e-05
nn           proportion                         8.5034e-05
nn           proposal                           0.000765306
nn           proprietor                         0.000127551
nn           prose                              4.2517e-05
nn           prosecution                        0.000127551
nn           prosecutor                         8.5034e-05
nn           prospect                           0.000212585
nn           prosperity                         0.000170068
nn           prostitution                       4.2517e-05
nn           protection                         0.00042517
nn           protest                            0.000127551
nn           protocol                           8.5034e-05
nn           proton                             8.5034e-05
nn           province                           0.000127551
nn           provision                          0.000170068
nn           provocation                        8.5034e-05
nn           prowess                            4.2517e-05
nn           proximity                          8.5034e-05
nn           pseudo-sophistication              4.2517e-05
nn           pseudynom                          4.2517e-05
nn           psychiatrist                       8.5034e-05
nn           ptc                                0.000127551
nn           public                             0.00153061
nn           public-school                      4.2517e-05
nn           publication                        0.000212585
nn           publicity                          0.00042517
nn           publisher                          4.2517e-05
nn           publishing                         8.5034e-05
nn           pull                               8.5034e-05
nn           pulpit                             4.2517e-05
nn           pulse                              4.2517e-05
nn           pulse-jet                          4.2517e-05
nn           pun                                4.2517e-05
nn           punctuation                        4.2517e-05
nn           puppet                             0.000212585
nn           purchase                           0.000170068
nn           purge                              4.2517e-05
nn           purification                       4.2517e-05
nn           purity                             0.000127551
nn           purple                             4.2517e-05
nn           purpose                            0.000892857
nn           purse                              8.5034e-05
nn           pursuit                            0.000127551
nn           putout                             4.2517e-05
nn           putt                               0.000212585
nn           putter                             4.2517e-05
nn           puzzle                             4.2517e-05
nn           puzzler                            4.2517e-05
nn           pyramid                            4.2517e-05
nn           q3                                 4.2517e-05
nn           qualification                      4.2517e-05
nn           quality                            0.000595238
nn           quantity                           4.2517e-05
nn           quarrel                            8.5034e-05
nn           quart                              4.2517e-05
nn           quarter                            0.000297619
nn           quarter-mile                       4.2517e-05
nn           quarterback                        0.000170068
nn           quartet                            8.5034e-05
nn           queen                              0.000170068
nn           quest                              4.2517e-05
nn           question                           0.00191326
nn           quickie                            4.2517e-05
nn           quicksilver                        4.2517e-05
nn           quiet                              8.5034e-05
nn           quintet                            4.2517e-05
nn           quiz                               4.2517e-05
nn           quota                              8.5034e-05
nn           quotation                          8.5034e-05
nn           quote                              8.5034e-05
nn           r's                                8.5034e-05
nn           r-5th                              4.2517e-05
nn           r-6th                              4.2517e-05
nn           r-bergen                           4.2517e-05
nn           r-cape                             4.2517e-05
nn           r-warren                           4.2517e-05
nn           rabbit                             4.2517e-05
nn           race                               0.0017432
nn           racing                             8.5034e-05
nn           racket                             4.2517e-05
nn           racketeer                          4.2517e-05
nn           radiation                          0.000765306
nn           radio                              0.00114796
nn           radio-tv                           4.2517e-05
nn           radioactivity                      4.2517e-05
nn           raft                               4.2517e-05
nn           rage                               4.2517e-05
nn           raggedness                         4.2517e-05
nn           railing                            4.2517e-05
nn           railroad                           0.000765306
nn           railroading                        4.2517e-05
nn           railway                            0.000127551
nn           rain                               0.000255102
nn           rainstorm                          4.2517e-05
nn           raise                              0.000127551
nn           raiser                             4.2517e-05
nn           raising                            0.000127551
nn           rally                              0.000212585
nn           ramp                               4.2517e-05
nn           ranch                              4.2517e-05
nn           rancho                             4.2517e-05
nn           range                              0.000552721
nn           rank                               0.000127551
nn           rapid-fire                         4.2517e-05
nn           rapidity                           4.2517e-05
nn           rapport                            4.2517e-05
nn           rapprochement                      4.2517e-05
nn           rarity                             4.2517e-05
nn           rasp                               4.2517e-05
nn           rat                                4.2517e-05
nn           rate                               0.000765306
nn           ratification                       4.2517e-05
nn           rationale                          8.5034e-05
nn           razor                              8.5034e-05
nn           rca                                4.2517e-05
nn           rca-victor's                       4.2517e-05
nn           re-election                        8.5034e-05
nn           re-enactment                       4.2517e-05
nn           reach                              4.2517e-05
nn           reaction                           0.000382653
nn           reactor                            0.000127551
nn           reader                             0.00042517
nn           readiness                          4.2517e-05
nn           reading                            0.000212585
nn           realism                            0.000255102
nn           reality                            0.000255102
nn           realization                        0.000170068
nn           realm                              4.2517e-05
nn           realty                             4.2517e-05
nn           reapportionment                    4.2517e-05
nn           reappraisal                        4.2517e-05
nn           rear                               4.2517e-05
nn           reason                             0.00195578
nn           reasoning                          4.2517e-05
nn           reassurance                        4.2517e-05
nn           rebel                              0.000127551
nn           rebellion                          0.000127551
nn           rebirth                            4.2517e-05
nn           rebuff                             8.5034e-05
nn           reception                          0.000595238
nn           recess                             4.2517e-05
nn           recession                          0.000212585
nn           recipe                             8.5034e-05
nn           recipient                          0.000127551
nn           recital                            0.000127551
nn           recognition                        0.000170068
nn           recommendation                     8.5034e-05
nn           reconsideration                    8.5034e-05
nn           reconstruction                     4.2517e-05
nn           record                             0.00216837
nn           recorder                           4.2517e-05
nn           recording                          0.000170068
nn           recourse                           4.2517e-05
nn           recovery                           0.000467687
nn           recreation                         8.5034e-05
nn           recruit                            4.2517e-05
nn           rector                             0.000127551
nn           redecoration                       8.5034e-05
nn           redhead                            8.5034e-05
nn           reduction                          0.000297619
nn           redundancy                         4.2517e-05
nn           reelection                         8.5034e-05
nn           reference                          0.000340136
nn           referendum                         4.2517e-05
nn           refinement                         8.5034e-05
nn           reflection                         4.2517e-05
nn           refocusing                         4.2517e-05
nn           reform                             0.000255102
nn           reformatory                        8.5034e-05
nn           reformer                           4.2517e-05
nn           refrigerator                       4.2517e-05
nn           refurbishing                       4.2517e-05
nn           refusal                            4.2517e-05
nn           regard                             0.000212585
nn           regime                             0.000510204
nn           region                             0.000212585
nn           register                           4.2517e-05
nn           registration                       8.5034e-05
nn           regrouping                         4.2517e-05
nn           regularity                         4.2517e-05
nn           regulation                         4.2517e-05
nn           rehabilitation                     8.5034e-05
nn           rehash                             4.2517e-05
nn           rehearsal                          4.2517e-05
nn           reign                              4.2517e-05
nn           rein                               4.2517e-05
nn           reinvigoration                     4.2517e-05
nn           rejection                          0.000127551
nn           rekindling                         4.2517e-05
nn           relation                           8.5034e-05
nn           relationship                       0.000297619
nn           relativity                         4.2517e-05
nn           relaxation                         8.5034e-05
nn           release                            0.000170068
nn           relic                              4.2517e-05
nn           relief                             0.000382653
nn           religion                           8.5034e-05
nn           relish                             0.000127551
nn           reluctance                         8.5034e-05
nn           remainder                          0.000127551
nn           remark                             0.000212585
nn           remembering                        4.2517e-05
nn           reminder                           8.5034e-05
nn           reminiscence                       4.2517e-05
nn           removal                            0.000212585
nn           rendering                          4.2517e-05
nn           renewal                            0.000170068
nn           reorganization                     8.5034e-05
nn           repair                             0.000127551
nn           repartee                           4.2517e-05
nn           repeal                             0.000212585
nn           repertory                          8.5034e-05
nn           repetition                         0.000127551
nn           replacement                        0.000127551
nn           reply                              0.000297619
nn           report                             0.000977891
nn           reporter                           0.000170068
nn           representation                     8.5034e-05
nn           representative                     0.000340136
nn           repression                         4.2517e-05
nn           reprisal                           4.2517e-05
nn           republic                           4.2517e-05
nn           reputation                         0.000297619
nn           request                            0.00042517
nn           requirement                        0.000170068
nn           rescue                             0.000170068
nn           research                           0.00110544
nn           researcher                         4.2517e-05
nn           resemblance                        8.5034e-05
nn           resentment                         0.000255102
nn           reservation                        4.2517e-05
nn           reserve                            0.000170068
nn           reservoir                          8.5034e-05
nn           residence                          4.2517e-05
nn           resident                           8.5034e-05
nn           residue                            4.2517e-05
nn           resignation                        0.000212585
nn           resilience                         4.2517e-05
nn           resistance                         8.5034e-05
nn           resolution                         0.000977891
nn           resolve                            4.2517e-05
nn           resource                           4.2517e-05
nn           resourcefulness                    8.5034e-05
nn           respect                            0.000595238
nn           response                           0.000467687
nn           responsibility                     0.00106292
nn           rest                               0.000637755
nn           restaurant                         0.000170068
nn           restoration                        4.2517e-05
nn           restraint                          4.2517e-05
nn           restriction                        4.2517e-05
nn           restudy                            4.2517e-05
nn           result                             0.00153061
nn           resumption                         0.000340136
nn           resurgence                         4.2517e-05
nn           resurrection                       4.2517e-05
nn           retail                             0.000170068
nn           retaliation                        0.000127551
nn           retelling                          4.2517e-05
nn           retirement                         0.000297619
nn           retraction                         4.2517e-05
nn           retreat                            4.2517e-05
nn           retrospect                         4.2517e-05
nn           return                             0.000680272
nn           reunion                            0.000212585
nn           revelation                         0.000127551
nn           revenge                            4.2517e-05
nn           revenue                            0.000340136
nn           review                             0.000297619
nn           reviewer                           4.2517e-05
nn           revision                           0.000170068
nn           revival                            8.5034e-05
nn           revolt                             4.2517e-05
nn           revolution                         0.000170068
nn           revulsion                          4.2517e-05
nn           reward                             8.5034e-05
nn           rhythm                             8.5034e-05
nn           ribbon                             0.000170068
nn           rice                               4.2517e-05
nn           richness                           4.2517e-05
nn           riddle                             4.2517e-05
nn           ride                               4.2517e-05
nn           ridge                              8.5034e-05
nn           ridicule                           4.2517e-05
nn           rifle                              0.000170068
nn           right                              0.00131803
nn           right-wing                         4.2517e-05
nn           righteousness                      8.5034e-05
nn           rightfield                         0.000127551
nn           righthander                        8.5034e-05
nn           rightist                           4.2517e-05
nn           ring                               0.000340136
nn           ringside                           4.2517e-05
nn           riot                               4.2517e-05
nn           rise                               0.000255102
nn           risk                               0.000467687
nn           ritiuality                         4.2517e-05
nn           ritual                             4.2517e-05
nn           rivalry                            0.000127551
nn           river                              0.000297619
nn           road                               0.00085034
nn           road-crossing                      4.2517e-05
nn           road-show                          4.2517e-05
nn           roadblock                          4.2517e-05
nn           roadhouse                          4.2517e-05
nn           roadside                           4.2517e-05
nn           roar                               0.000170068
nn           robber                             4.2517e-05
nn           robbery                            0.000170068
nn           robe                               4.2517e-05
nn           robin                              4.2517e-05
nn           rock                               0.000170068
nn           rock'n'roll                        4.2517e-05
nn           rocket                             4.2517e-05
nn           rocket-bomb                        4.2517e-05
nn           rococo                             4.2517e-05
nn           roemer                             4.2517e-05
nn           role                               0.000977891
nn           roll                               0.000127551
nn           roller                             4.2517e-05
nn           romance                            4.2517e-05
nn           romanticism                        4.2517e-05
nn           romp                               4.2517e-05
nn           roof                               8.5034e-05
nn           roofer                             4.2517e-05
nn           rooftop                            4.2517e-05
nn           rookie                             0.000255102
nn           rookie-of-the-year                 4.2517e-05
nn           room                               0.00157313
nn           roommate                           4.2517e-05
nn           root                               0.000127551
nn           rose                               4.2517e-05
nn           roster                             4.2517e-05
nn           rotation                           4.2517e-05
nn           rotunda                            4.2517e-05
nn           rough-housing                      4.2517e-05
nn           roughness                          4.2517e-05
nn           round                              0.000510204
nn           roundup                            4.2517e-05
nn           route                              0.000255102
nn           routine                            4.2517e-05
nn           row                                0.000297619
nn           rubber                             4.2517e-05
nn           rubbish                            0.000127551
nn           rug                                8.5034e-05
nn           ruin                               4.2517e-05
nn           rule                               0.00106292
nn           ruling                             0.000297619
nn           rumor                              4.2517e-05
nn           run                                0.000935374
nn           run-up                             4.2517e-05
nn           runaway                            4.2517e-05
nn           rundown                            8.5034e-05
nn           runner-up                          4.2517e-05
nn           runway                             4.2517e-05
nn           rush                               0.000127551
nn           s                                  4.2517e-05
nn           sabre                              4.2517e-05
nn           sabre-rattling                     4.2517e-05
nn           sack                               4.2517e-05
nn           sacker                             4.2517e-05
nn           sacrifice                          0.000297619
nn           sacrilege                          4.2517e-05
nn           sadism                             4.2517e-05
nn           sadness                            4.2517e-05
nn           safari                             4.2517e-05
nn           safeguard                          4.2517e-05
nn           safety                             0.000340136
nn           saffron                            4.2517e-05
nn           saga                               0.000127551
nn           sailboat                           4.2517e-05
nn           sailor                             8.5034e-05
nn           saintliness                        4.2517e-05
nn           sake                               0.000127551
nn           salad                              4.2517e-05
nn           salami                             4.2517e-05
nn           salary                             0.000467687
nn           sale                               0.000510204
nn           salesman                           8.5034e-05
nn           salesmanship                       4.2517e-05
nn           salon                              4.2517e-05
nn           salt                               4.2517e-05
nn           salute                             4.2517e-05
nn           salvage                            4.2517e-05
nn           sample                             0.000127551
nn           sanction                           4.2517e-05
nn           sanctity                           4.2517e-05
nn           sanctuary                          0.000170068
